Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1750,,,-0.077592,,0.213943083934302,,,0.136351083934302
1751,0.003,,-0.073988,,-0.508879621465544,,0.003,-0.582867621465544
1752,0.003,,-0.070596,,-0.359292591454379,,0.003,-0.429888591454379
1753,0.003,,-0.067628,,0.0145509583392549,,0.003,-0.0530770416607451
1754,0.003,,-0.064024,,-0.270070104812081,,0.003,-0.334094104812081
1755,0.003,,-0.058088,,-0.114169396789693,,0.003,-0.172257396789693
1756,0.003,,-0.050244,,0.323432865787994,,0.003,0.273188865787994
1757,0.003,,-0.04028,,0.52183062413835,,0.003,0.48155062413835
1758,0.003,,-0.028408,,-0.0111920302871258,,0.003,-0.0396000302871258
1759,0.003,,-0.014204,,-0.540355082747415,,0.003,-0.554559082747415
1760,0.003,,0.001908,,-0.0296095397816904,,0.003,-0.0277015397816904
1761,0.003,,0.02014,,-0.649256790403203,,0.003,-0.629116790403203
1762,0.003,,0.040492,,-0.580679861063221,,0.003,-0.540187861063221
1763,0.003,,0.062752,,0.354778325095655,,0.003,0.417530325095655
1764,0.003,,0.087344,,0.489546938770044,,0.003,0.576890938770044
1765,0.003,,0.11236,,-0.230848668134816,,0.003,-0.118488668134816
1766,0.003,,0.135256,,0.176130311438028,,0.003,0.311386311438028
1767,0.003,,0.156032,,0.308281264820854,,0.003,0.464313264820854
1768,0.003,,0.174476,,0.324101900966365,,0.003,0.498577900966365
1769,0.003,,0.190588,,0.0852742393221039,,0.003,0.275862239322104
1770,0.003,,0.20458,,0.143756174177975,,0.003,0.348336174177975
1771,0.004,,0.216452,,-0.199032357563435,,0.004,0.0174196424365655
1772,0.004,,0.225992,,-0.308918761336288,,0.004,-0.0829267613362877
1773,0.004,,0.2332,,0.0273569078784002,,0.004,0.2605569078784
1774,0.004,,0.238288,,-0.0882033418108875,,0.004,0.150084658189113
1775,0.004,,0.242528,,0.0635586740974309,,0.004,0.306086674097431
1776,0.004,,0.248464,,0.420991737866527,,0.004,0.669455737866527
1777,0.004,,0.256308,,0.637924199850806,,0.004,0.894232199850806
1778,0.004,,0.26606,,0.0980915221947244,,0.004,0.364151522194724
1779,0.004,,0.27772,,-0.387593382849497,,0.004,-0.109873382849497
1780,0.004,,0.2915,,0.240342098012918,,0.004,0.531842098012918
1781,0.005,,0.31482,0.07433,-0.506863840235497,,0.005,-0.117713840235497
1782,0.005,,0.348316,0.082155,-0.467417729384195,,0.005,-0.0369467293841954
1783,0.005,,0.378844,0.08952,0.647223841813109,,0.005,1.11558784181311
1784,0.005,,0.40598,0.10207,0.765466266000273,,0.005,1.27351626600027
1785,0.005,,0.429512,0.104205,0.0520122474198078,,0.005,0.585729247419808
1786,0.005,,0.44944,0.11673,0.399767505129044,,0.005,0.965937505129044
1787,0.005,,0.465764,0.12393,0.517398518217188,,0.005,1.10709251821719
1788,0.005,,0.478696,0.131105,0.531970625783479,,0.005,1.14177162578348
1789,0.005,,0.488024,0.13301,0.208539202282329,,0.005,0.829573202282329
1790,0.005,,0.493748,0.14019,0.418732236735666,,0.005,1.05267023673567
1791,0.006,,0.495868,0.147095,-0.11044826393789,,0.006,0.53251473606211
1792,0.006,,0.494384,0.14901,0.130363380258129,,0.006,0.773757380258129
1793,0.006,,0.489296,0.15568,0.244329797856946,,0.006,0.889305797856946
1794,0.006,,0.480816,0.15749,0.331385774906606,,0.006,0.969691774906607
1795,0.006,,0.468732,0.163805,0.276364679996177,,0.006,0.908901679996177
1796,0.006,,0.45474,0.164995,0.620701105145804,,0.006,1.2404361051458
1797,0.007,,0.439476,0.1658,1.00765878110321,,0.007,1.61293478110321
1798,0.007,,0.42188,0.16673,0.503028753599373,,0.007,1.09163875359937
1799,0.007,,0.401952,0.167235,0.00326733092491845,,0.007,0.572454330924919
1800,0.008,,0.38054,0.17277,0.425495280733144,,0.008,0.978805280733144
1801,0.008,,0.361672,0.173235,-0.18503367870502,,0.008,0.349873321294981
1802,0.01,,0.34238,0.173365,-0.114894655369359,,0.01,0.400850344630641
1803,0.009,,0.321816,0.17367,0.865060378676231,,0.009,1.36054637867623
1804,0.009,,0.300192,0.17359,0.953593718073816,,0.009,1.42737571807382
1805,0.009,,0.277296,0.17356,0.16774111344672,,0.009,0.61859711344672
1806,0.01,,0.25334,0.173505,0.536657401471661,,0.01,0.963502401471661
1807,0.01,,0.228112,0.173135,0.655406880144035,,0.01,1.05665388014404
1808,0.01,,0.201824,0.17295,0.59307385406469,,0.01,0.96784785406469
1809,0.01,,0.174264,0.17259,0.371807302145247,,0.01,0.718661302145247
1810,0.01,,0.145644,0.17252,0.534764823558185,,0.01,0.852928823558185
1811,0.011,,0.115752,0.16692,-0.1269979738103,,0.011,0.1556740261897
1812,0.011,,0.0848,0.16627,0.0399621720472254,,0.011,0.291032172047225
1813,0.011,,0.052576,0.165735,0.391488180372016,,0.011,0.609799180372016
1814,0.011,,0.019292,0.16021,0.241896358355388,,0.011,0.421398358355388
1815,0.012,,-0.014628,0.15963,0.347486714788949,,0.012,0.492488714788949
1816,0.013,,-0.044308,0.15875,0.641064924865998,,0.013,0.755506924865998
1817,0.014,,-0.067628,0.15806,0.868517111874598,,0.014,0.958949111874598
1818,0.014,,-0.0848,0.15751,0.330137899400171,,0.014,0.402847899400171
1819,0.014,,-0.095612,0.15205,-0.218228363696268,,0.014,-0.161790363696268
1820,0.014,,-0.099852,0.15117,0.333817049688134,,0.014,0.385135049688134
1821,0.014,,-0.098156,0.15066,-0.445937657663523,,0.014,-0.393433657663523
1822,0.015,,-0.089888,0.149595,-0.264177517381436,,0.015,-0.204470517381436
1823,0.016,,-0.07526,0.144045,0.527429642023284,,0.016,0.596214642023284
1824,0.016,,-0.054484,0.14338,0.734698486990602,,0.016,0.823594486990602
1825,0.017,,-0.027348,0.14237,0.11774683657908,,0.017,0.23276883657908
1826,0.017,,0.006148,0.14153,0.421762399585964,,0.017,0.569440399585964
1827,0.018,,0.043248,0.1408,0.540096028994322,,0.018,0.724144028994322
1828,0.018,,0.068264,0.140145,0.516558210453664,,0.018,0.724967210453664
1829,0.018,,0.088192,0.13505,0.193797063874803,,0.018,0.417039063874802
1830,0.024,,0.106424,0.13455,0.370219167580948,,0.024,0.611193167580948
1831,0.023,,0.122324,0.134,-0.0940529679802197,,0.023,0.16227103201978
1832,0.023,,0.136528,0.13352,0.027627405514337,,0.023,0.297675405514337
1833,0.024,,0.148612,0.13358,0.249978989927222,,0.024,0.532170989927222
1834,0.024,,0.160484,0.1337,0.00727984307453169,,0.024,0.301463843074532
1835,0.025,,0.179352,0.133975,0.285023004712726,,0.025,0.598350004712726
1836,0.029,,0.205428,0.13412,0.608696821947745,,0.029,0.948244821947745
1837,0.029,,0.237016,0.134745,0.800069319554992,,0.029,1.17183031955499
1838,0.03,,0.274116,0.13561,0.278466312865501,,0.03,0.688192312865501
1839,0.031,,0.316092,0.136535,-0.154125400720471,,0.031,0.298501599279529
1840,0.033,,0.361248,0.132865,0.364001020701914,,0.033,0.858114020701914
1841,0.034,,0.408948,0.13897,-0.364745941046208,,0.034,0.183172058953792
1842,0.036,,0.454528,0.140425,-0.380899681141595,,0.036,0.214053318858405
1843,0.037,,0.479544,0.14147,0.788314384132075,,0.037,1.40932838413208
1844,0.039,,0.479332,0.14274,0.863569959173253,,0.039,1.48564195917325
1845,0.043,,0.456436,0.14418,0.159535485957755,,0.043,0.760151485957755
1846,0.043,,0.421456,0.150135,0.415736048010604,,0.043,0.987327048010604
1847,0.046,,0.376936,0.15123,0.613804499945361,,0.046,1.14197049994536
1848,0.047,,0.323088,0.1572,0.639867769605128,,0.047,1.12015576960513
1849,0.05,,0.259276,0.15831,0.271892483966806,,0.05,0.689478483966806
