index,country,country_code,type,latitude,longitude
106,Turkmenistan,TKM,country,38.969719,59.556278000000006
107,Iran,IRN,country,32.427908,53.68804599999999
108,Syria,SYR,country,34.802075,38.996815000000005
109,Armenia,ARM,country,40.069099,45.038189
110,Sweden,SWE,country,60.128161,18.643501
111,Belarus,BLR,country,53.709807,27.953389
112,Ukraine,UKR,country,48.379433,31.16558
113,Poland,POL,country,51.919438,19.145135999999997
114,Austria,AUT,country,47.516231,14.550072
115,Hungary,HUN,country,47.162494,19.503304
116,Moldova,MDA,country,47.411631,28.369884999999996
117,Romania,ROU,country,45.943160999999996,24.96676
118,Lithuania,LTU,country,55.169438,23.881275
119,Latvia,LVA,country,56.879635,24.603189
120,Estonia,EST,country,58.595271999999994,25.013607
121,Germany,DEU,country,51.165690999999995,10.451526
122,Bulgaria,BGR,country,42.733883,25.48583
123,Greece,GRC,country,39.074208,21.824312
124,Turkey,TUR,country,38.963745,35.243322
125,Albania,ALB,country,41.153332,20.168331
126,Croatia,HRV,country,45.1,15.2
127,Switzerland,CHE,country,46.818188,8.227511999999999
128,Luxembourg,LUX,country,49.815273,6.129583
129,Belgium,BEL,country,50.503887,4.469936
130,Netherlands,NLD,country,52.132633,5.291266
131,Portugal,PRT,country,39.399871999999995,-8.224454
132,Spain,ESP,country,40.463667,-3.7492199999999998
133,Ireland,IRL,country,53.41291,-8.243889999999999
134,New Caledonia,NCL,country,-20.904305,165.618042
135,Solomon Islands,SLB,country,-9.645710000000001,160.156194
136,New Zealand,NZL,country,-40.900557,174.88597099999998
137,Australia,AUS,country,-25.274398,133.775136
138,Sri Lanka,LKA,country,7.873054,80.77179699999999
139,China,CHN,country,35.86166,104.195397
140,Taiwan,TWN,country,23.69781,120.96051499999999
141,Italy,ITA,country,41.87194,12.56738
142,Denmark,DNK,country,56.26392,9.501785
143,United Kingdom,GBR,country,55.378051,-3.435973
144,Iceland,ISL,country,64.96305100000001,-19.020835
145,Azerbaijan,AZE,country,40.143105,47.576927000000005
146,Georgia,GEO,country,42.315407,43.356891999999995
147,Philippines,PHL,country,12.879721,121.77401699999999
148,Malaysia,MYS,country,4.210483999999999,101.97576600000001
149,Brunei,BRN,country,4.535277,114.72766899999999
150,Slovenia,SVN,country,46.151241,14.995463
151,Finland,FIN,country,61.92411,25.748151
152,Slovakia,SVK,country,48.669026,19.699023999999998
153,Czechia,CZE,country,49.817492,15.472962
154,Eritrea,ERI,country,15.179383999999999,39.782334000000006
155,Japan,JPN,country,36.204824,138.252924
156,Paraguay,PRY,country,-23.442503,-58.44383199999999
157,Yemen,YEM,country,15.552726999999999,48.516388
158,Saudi Arabia,SAU,country,23.885942,45.079162
159,Northern Cyprus,CYN,country,35.183333,33.366667
160,Cyprus,CYP,country,35.126413,33.429859
161,Morocco,MAR,country,31.791702,-7.09262
162,Egypt,EGY,country,26.820553000000004,30.802497999999996
163,Libya,LBY,country,26.3351,17.228331
164,Ethiopia,ETH,country,9.145,40.489672999999996
165,Djibouti,DJI,country,11.825138,42.590275
166,Somaliland,SOL,country,9.55,44.05
167,Uganda,UGA,country,1.373333,32.290275
168,Rwanda,RWA,country,-1.940278,29.873888
169,Bosnia and Herzegovina,BIH,country,43.915886,17.679076000000002
170,Macedonia,MKD,country,41.608635,21.745275
171,Republic of Serbia,SRB,country,44.016521,21.005859
172,Montenegro,MNE,country,42.708678000000006,19.37439
173,Kosovo,KOS,country,42.6026359,20.902977
174,Trinidad and Tobago,TTO,country,10.691803,-61.222503
175,South Sudan,SSD,country,6.876991900000001,31.6
176,Antarctica,ATA,country,-80,90
177,Palestine,PSE,country,31.952162,35.233154
178,Western Sahara,ESH,country,24.215527,-12.885834
